Date;IDR;PEN;PGK;TWD;BGN;BWP;QAR;UZS;UGX;UYU;UAH;IQD;ILS;SEK;DJF;DZD;ISK;INR;SAR;CAD;ARS;AUD;SGD;RUB;TRY;BRL;CNY;MXN;EUR;JPY;GBP
18.11.2014;12136;2,931;2,565;30,847;1,558;9,225;3,641;2396,79;2740;24,2;15,2;1207,563;3,843;7,389;177,995;84,782;123,16;61,738;3,752;1,134;0;1,16;1,306;46,147;2,22;2,609;6,121;13,619;0,798;118,231;0,637267397
19.11.2014;12142;2,928;2,546;30,958;1,56;9,187;3,641;2396,79;2745;23,889;15,2;1207,563;3,837;7,394;177,995;84,907;123,04;61,748;3,752;1,131;0;1,16;1,3;45,704;2,222;2,583;6,126;13,651;0,807;117,813;0,638732754
20.11.2014;12175;2,926;2,565;30,919;1,579;9,196;3,641;2396,79;2754,82;23,872;15,2;1207,563;3,86;7,466;178,02;85,704;123,99;61,963;3,752;1,123;0;1,154;1,3;44,984;2,23;2,571;6,125;13,618;0,804;118,273;0,636699351
21.11.2014;12147;2,924;2,565;30,945;1,572;9,217;3,642;2401,09;2750;23,94;15,1;1207,563;3,859;7,438;176,951;85,78;124,02;61,954;3,752;1,128;8,512;1,16;1,303;46,275;2,219;2,573;6,142;13,658;0,802;117,966;0,636618284
24.11.2014;12153;2,911;2,546;30,929;1,568;9,191;3,642;2401,09;2745;23,856;15,1;1207,563;3,862;7,425;177,463;85,794;123,67;61,775;3,752;1,126;8,513;1,172;1,301;47,416;2,21;2,516;6,137;13,674;0,8;117,744;0,633232016
25.11.2014;12164;2,916;2,549;30,925;1,564;9,187;3,642;2401,09;2775;23,57;15,1;1207,563;3,874;7,398;176,951;85,861;123,3;61,933;3,752;1,125;8,514;1,17;1,298;48,638;2,207;2,546;6,139;13,724;0,802;117,716;0,635485511
26.11.2014;12178;2,915;2,552;30,906;1,569;9,191;3,641;2401,09;2775;23,505;15,023;1207,563;3,894;7,432;176,951;85,923;123,61;61,87;3,752;1,133;8,515;1,17;1,299;50,429;2,22;2,53;6,139;13,766;0,803;118,624;0,639181847
27.11.2014;12177;2,912;2,555;30,957;1,571;9,242;3,641;2401,09;2775;23,576;15,02;1207,563;3,896;7,451;177,995;86,109;123,72;61,85;3,753;1,142;8,516;1,176;1,304;51,177;2,214;2,502;6,145;13,929;0,802;118,385;0,635727908
28.11.2014;12206;2,914;2,569;31,058;1,569;9,2;3,641;2405,41;2765;23,523;15,11;1206,568;3,924;7,438;176,951;86,094;123,39;61,875;3,754;1,133;8,52;1,177;1,307;53,879;2,231;2,531;6,151;13,993;0,808;119,232;0,639508857
01.12.2014;12281;2,923;2,578;31,053;1,58;9,259;3,64;2405,41;2752,95;23,685;15,16;1206,568;3,977;7,524;176,951;86,324;124,21;62,033;3,753;1,141;8,523;1,184;1,312;53,248;2,24;2,565;6,15;14,104;0,812;119,789;0,637511156
02.12.2014;12271;2,933;2,565;31,095;1,589;9,285;3,641;2405,41;2755;23,898;15,24;1206,568;3,978;7,526;178,02;86,919;124,69;62,024;3,753;1,137;8,522;1,19;1,312;54,377;2,234;2,561;6,15;14,101;0,808;119,789;0,638039941
03.12.2014;12301;2,944;2,581;31,149;1,58;9,298;3,641;2405,41;2745;24,006;15,35;1206,568;3,952;7,494;176,951;86,802;124,08;61,885;3,754;1,138;8,523;1,193;1,312;52,687;2,261;2,569;6,155;14,156;0,814;121,462;0,641848524
04.12.2014;12309;2,945;2,565;31,138;1,592;9,298;3,642;2405,41;2760;23,301;15,46;1206,568;3,984;7,557;177,995;87,053;124,9;61,913;3,753;1,144;8,531;1,201;1,323;53,735;2,269;2,553;6,152;14,359;0,812;120,685;0,638855172
05.12.2014;12299;2,948;2,572;31,209;1,588;9,47;3,642;2405,41;2760;23,979;15,58;1206,568;3,962;7,546;177,513;87,051;124,67;61,936;3,753;1,148;8,539;1,206;1,32;54,054;2,267;2,591;6,172;14,382;0,808;119,703;0,638243554
08.12.2014;12390;2,956;2,572;31,221;1,581;9,412;3,642;2409,67;2763,5;23,895;15,63;1196,518;3,937;7,532;177,995;86,878;124,17;61,785;3,752;1,145;8,543;1,206;1,316;54,885;2,266;2,589;6,188;14,422;0,803;117,827;0,636334712
09.12.2014;12331;2,962;2,572;31,225;1,571;9,447;3,642;2409,67;2767,7;23,867;15,7;1196,518;3,93;7,531;177,995;86,649;123,52;61,838;3,753;1,148;8,55;1,202;1,311;56,433;2,278;2,6;6,176;14,56;0,806;118,652;0,635647089
10.12.2014;12338;2,96;2,572;31,231;1,576;9,501;3,642;2409,67;2765;23,88;15,72;1196,518;3,921;7,526;178,045;86,423;123,92;61,888;3,753;1,152;8,556;1,209;1,313;58,207;2,299;2,596;6,189;14,777;0,802;118,807;0,636294222
11.12.2014;12350;2,964;2,572;31,313;1,57;9,506;3,641;2409,67;2770;23,93;15,76;1196,518;3,909;7,546;177,995;86,471;123,54;62,021;3,753;1,158;8,551;1,213;1,314;65,445;2,376;2,617;6,188;14,762;0,804;117,855;0,639467963
12.12.2014;12467;2,969;2,572;31,33;1,573;9,51;3,641;2413,96;2775;24,038;15,81;1196,518;3,936;7,645;177,729;86,539;123,78;62,345;3,753;1,167;8,551;1,217;1,313;68,259;2,365;2,652;6,193;14,761;0,799;116,401;0,634920635
15.12.2014;12714;2,963;2,572;31,294;1,563;9,479;3,641;2413,96;2785;24,153;15,82;1190;3,898;7,628;177,515;85,801;123,71;62,295;3,754;1,163;8,551;1,217;1,303;60,569;2,338;2,654;6,191;14,753;0,81;118,652;0,642054575
16.12.2014;12725;2,967;2,578;31,339;1,585;9,533;3,641;2413,96;2775;24,365;15,83;1196,518;3,931;7,667;178,02;86,229;125,87;62,945;3,754;1,163;8,552;1,231;1,311;61,958;2,323;2,696;6,197;14,563;0,814;118,85;0,638162093
17.12.2014;12667;2,971;2,572;31,445;1,592;9,483;3,642;2413,96;2780;24,557;15,82;1196,518;3,94;7,699;176,951;87,242;126,2;63,538;3,754;1,158;8,551;1,224;1,314;59,524;2,312;2,739;6,216;14,579;0,818;119,474;0,639959043
