Date;USDIDR BGN Curncy;USDPEN BGN Curncy                                               ;USDPGK CMPN Curncy                                              ;USDTWD BGN Curncy                                               ;USDBGN BGN Curncy                                               ;USDBWP CMPN Curncy                                              ;USDQAR BGN Curncy                                               ;USDUZS BGN Curncy                                               ;USDUGX BGN Curncy                                               ;USDUYU BGN Curncy                                               ;USDUAH BGN Curncy                                               ;USDIQD BGN Curncy                                               ;USDILS BGN Curncy                                               ;USDSEK BGN Curncy                                               ;USDDJF BGN Curncy                                               ;USDDZD BGN Curncy                                               ;USDISK BGN Curncy                                               ;USDINR BGN Curncy                                               ;USDSAR BGN Curncy                                               ;USDCAD BGN Curncy                                               ;USDARS BGN Curncy                                               ;USDAUD BGN Curncy                                               ;USDSGD BGN Curncy                                               ;USDRUB CMPN Curncy                                              ;USDTRY BGN Curncy                                               ;USDBRL BGN Curncy                                               ;USDCNY BGN Curncy                                               ;USDMXN BGN Curncy                                               ;USDEUR BGN Curncy                                               ;USDJPY BGN Curncy                                               ;USDGBP BGN Curncy                                               
18.11.2014;12136000000000;2931000000;2565000000;30847000000;1558000000;9225000000;3641000000;2396790000000;2740000000000;24200000000;15200000000;1207563000000;3843000000;7389000000;177995000000;84782000000;123160000000;61738000000;3752000000;1134000000;0;1160000000;1306000000;46147000000;2220000000;2609000000;6121000000;13619000000;798000000;118231000000;637267397
19.11.2014;12142000000000;2928000000;2546000000;30958000000;1560000000;9187000000;3641000000;2396790000000;2745000000000;23889000000;15200000000;1207563000000;3837000000;7394000000;177995000000;84907000000;123040000000;61748000000;3752000000;1131000000;0;1160000000;1300000000;45704000000;2222000000;2583000000;6126000000;13651000000;807000000;117813000000;638732754
20.11.2014;12175000000000;2926000000;2565000000;30919000000;1579000000;9196000000;3641000000;2396790000000;2754820000000;23872000000;15200000000;1207563000000;3860000000;7466000000;178020000000;85704000000;123990000000;61963000000;3752000000;1123000000;0;1154000000;1300000000;44984000000;2230000000;2571000000;6125000000;13618000000;804000000;118273000000;636699351
21.11.2014;12147000000000;2924000000;2565000000;30945000000;1572000000;9217000000;3642000000;2401090000000;2750000000000;23940000000;15100000000;1207563000000;3859000000;7438000000;176951000000;85780000000;124020000000;61954000000;3752000000;1128000000;8512000000;1160000000;1303000000;46275000000;2219000000;2573000000;6142000000;13658000000;802000000;117966000000;636618284
24.11.2014;12153000000000;2911000000;2546000000;30929000000;1568000000;9191000000;3642000000;2401090000000;2745000000000;23856000000;15100000000;1207563000000;3862000000;7425000000;177463000000;85794000000;123670000000;61775000000;3752000000;1126000000;8513000000;1172000000;1301000000;47416000000;2210000000;2516000000;6137000000;13674000000;800000000;117744000000;633232016
25.11.2014;12164000000000;2916000000;2549000000;30925000000;1564000000;9187000000;3642000000;2401090000000;2775000000000;23570000000;15100000000;1207563000000;3874000000;7398000000;176951000000;85861000000;123300000000;61933000000;3752000000;1125000000;8514000000;1170000000;1298000000;48638000000;2207000000;2546000000;6139000000;13724000000;802000000;117716000000;635485511
26.11.2014;12178000000000;2915000000;2552000000;30906000000;1569000000;9191000000;3641000000;2401090000000;2775000000000;23505000000;15023000000;1207563000000;3894000000;7432000000;176951000000;85923000000;123610000000;61870000000;3752000000;1133000000;8515000000;1170000000;1299000000;50429000000;2220000000;2530000000;6139000000;13766000000;803000000;118624000000;639181847
27.11.2014;12177000000000;2912000000;2555000000;30957000000;1571000000;9242000000;3641000000;2401090000000;2775000000000;23576000000;15020000000;1207563000000;3896000000;7451000000;177995000000;86109000000;123720000000;61850000000;3753000000;1142000000;8516000000;1176000000;1304000000;51177000000;2214000000;2502000000;6145000000;13929000000;802000000;118385000000;635727908
28.11.2014;12206000000000;2914000000;2569000000;31058000000;1569000000;9200000000;3641000000;2405410000000;2765000000000;23523000000;15110000000;1206568000000;3924000000;7438000000;176951000000;86094000000;123390000000;61875000000;3754000000;1133000000;8520000000;1177000000;1307000000;53879000000;2231000000;2531000000;6151000000;13993000000;808000000;119232000000;639508857
01.12.2014;12281000000000;2923000000;2578000000;31053000000;1580000000;9259000000;3640000000;2405410000000;2752950000000;23685000000;15160000000;1206568000000;3977000000;7524000000;176951000000;86324000000;124210000000;62033000000;3753000000;1141000000;8523000000;1184000000;1312000000;53248000000;2240000000;2565000000;6150000000;14104000000;812000000;119789000000;637511156
02.12.2014;12271000000000;2933000000;2565000000;31095000000;1589000000;9285000000;3641000000;2405410000000;2755000000000;23898000000;15240000000;1206568000000;3978000000;7526000000;178020000000;86919000000;124690000000;62024000000;3753000000;1137000000;8522000000;1190000000;1312000000;54377000000;2234000000;2561000000;6150000000;14101000000;808000000;119789000000;638039941
03.12.2014;12301000000000;2944000000;2581000000;31149000000;1580000000;9298000000;3641000000;2405410000000;2745000000000;24006000000;15350000000;1206568000000;3952000000;7494000000;176951000000;86802000000;124080000000;61885000000;3754000000;1138000000;8523000000;1193000000;1312000000;52687000000;2261000000;2569000000;6155000000;14156000000;814000000;121462000000;641848524
04.12.2014;12309000000000;2945000000;2565000000;31138000000;1592000000;9298000000;3642000000;2405410000000;2760000000000;23301000000;15460000000;1206568000000;3984000000;7557000000;177995000000;87053000000;124900000000;61913000000;3753000000;1144000000;8531000000;1201000000;1323000000;53735000000;2269000000;2553000000;6152000000;14359000000;812000000;120685000000;638855172
